offense_id,category,date,time,neighborhood,npu,x,y
153361975,LARCENY-NON VEHICLE,12/2/2015,14:30:00,Downtown,M,-84.38844,33.75774
153362003,RAPE,12/1/2015,17:30:00,Campbellton Road,R,-84.4623,33.70473
153362004,LARCENY-FROM VEHICLE,12/2/2015,15:40:00,Castleberry Hill,M,-84.40132,33.74964
153362028,BURGLARY-RESIDENCE,12/2/2015,15:00:00,Ashview Heights,T,-84.42057,33.74647
153362032,AUTO THEFT,12/2/2015,12:00:00,Hunter Hills,K,-84.43643,33.76
153362035,BURGLARY-RESIDENCE,12/2/2015,11:30:00,Greenbriar Village,P,-84.53821,33.7036
153362045,ROBBERY-PEDESTRIAN,12/2/2015,16:04:00,Vine City,L,-84.41382,33.75823
153362053,LARCENY-NON VEHICLE,12/1/2015,22:30:00,Harland Terrace,I,-84.47033,33.75285
153362057,LARCENY-FROM VEHICLE,12/2/2015,16:07:00,Collier Heights,I,-84.49241,33.7825
153362130,AUTO THEFT,12/2/2015,10:30:00,Midtown,E,-84.3896,33.78741
153362159,BURGLARY-RESIDENCE,12/2/2015,15:30:00,Lakewood Heights,Y,-84.40034,33.69918
153362178,LARCENY-FROM VEHICLE,12/2/2015,12:45:00,Home Park,E,-84.41347,33.78159
153362290,LARCENY-FROM VEHICLE,12/2/2015,16:45:00,English Avenue,L,-84.40498,33.76527
153362291,LARCENY-NON VEHICLE,12/2/2015,15:30:00,Downtown,M,-84.3903,33.76319
153362297,LARCENY-FROM VEHICLE,12/2/2015,15:00:00,Glenrose Heights,Z,-84.39593,33.67779
153362319,AUTO THEFT,12/2/2015,17:00:00,Dixie Hills,J,-84.46394,33.76094
153362407,LARCENY-NON VEHICLE,11/23/2015,15:44:00,Capitol Gateway,V,-84.382,33.74679
153362409,LARCENY-NON VEHICLE,11/27/2015,17:41:00,Midtown,E,-84.38391,33.78155
153362415,LARCENY-NON VEHICLE,12/2/2015,17:19:00,Lenox,B,-84.3595,33.85182
153362532,LARCENY-NON VEHICLE,12/2/2015,18:00:00,Lenox,B,-84.3595,33.85182
153362533,BURGLARY-RESIDENCE,12/2/2015,8:30:00,Brookhaven,B,-84.35757,33.87414
153362562,BURGLARY-RESIDENCE,12/2/2015,17:00:00,Vine City,L,-84.40528,33.75569
153362575,LARCENY-NON VEHICLE,12/2/2015,6:00:00,Mechanicsville,V,-84.39597,33.73438
153362581,LARCENY-NON VEHICLE,12/2/2015,18:34:00,East Lake,O,-84.30934,33.73966
153362594,AUTO THEFT,12/2/2015,6:30:00,Fairburn Mays,H,-84.50968,33.74349
153362600,BURGLARY-RESIDENCE,12/2/2015,12:00:00,English Avenue,L,-84.4042,33.76507
153362632,LARCENY-NON VEHICLE,12/2/2015,17:50:00,Vine City,L,-84.41457,33.75504
153362669,BURGLARY-RESIDENCE,12/2/2015,6:40:00,Oakland City,S,-84.4373,33.72533
153362693,LARCENY-FROM VEHICLE,12/2/2015,19:15:00,Midtown,E,-84.3833,33.77965
153362777,BURGLARY-RESIDENCE,12/2/2015,8:00:00,Vine City,L,-84.41629,33.756
153362810,LARCENY-NON VEHICLE,12/2/2015,19:00:00,North Buckhead,B,-84.3645,33.85209
153362813,LARCENY-FROM VEHICLE,12/2/2015,12:00:00,Atlanta University Center,T,-84.41744,33.74635
153362861,AUTO THEFT,12/2/2015,8:00:00,Fairburn Heights,H,-84.50424,33.7738
153362887,AUTO THEFT,12/2/2015,7:30:00,Sylvan Hills,X,-84.42492,33.69948
153363059,LARCENY-FROM VEHICLE,12/2/2015,21:15:00,Buckhead Forest,B,-84.37409,33.84413
153363082,BURGLARY-RESIDENCE,12/2/2015,22:00:00,Oakland City,S,-84.42766,33.72369
153363094,LARCENY-FROM VEHICLE,12/2/2015,22:22:00,Buckhead Forest,B,-84.37409,33.84413
153363135,AUTO THEFT,12/2/2015,22:00:00,Vine City,L,-84.41374,33.75822
153363160,LARCENY-FROM VEHICLE,12/2/2015,22:30:00,Mechanicsville,V,-84.39616,33.73711
153363177,LARCENY-FROM VEHICLE,12/2/2015,21:45:00,Midtown,E,-84.38386,33.77866
153368046,LARCENY-NON VEHICLE,11/7/2015,19:40:00,NULL,NULL,-84.4477,33.64184
153370008,ROBBERY-PEDESTRIAN,12/3/2015,0:02:00,Midtown,E,-84.38437,33.77665
153370087,AUTO THEFT,12/3/2015,0:20:00,Adamsville,H,-84.5076,33.76208
153370115,LARCENY-NON VEHICLE,12/3/2015,0:20:00,English Avenue,L,-84.40508,33.7697
153370247,BURGLARY-NONRES,12/3/2015,1:45:00,North Buckhead,B,-84.36936,33.84496
153370370,AUTO THEFT,12/3/2015,1:45:00,West End,T,-84.42114,33.73597
153370459,LARCENY-FROM VEHICLE,12/3/2015,3:30:00,English Avenue,L,-84.41697,33.76554
153370485,AUTO THEFT,12/3/2015,3:50:00,Vine City,L,-84.41374,33.75822
153370500,BURGLARY-NONRES,12/3/2015,4:00:00,Lindridge/Martin Manor,F,-84.35245,33.8175
